latitude,longitude,calcium,magnesium,titanium
26.576941,88.316673,4306,15097,7089
26.575838,88.315056,4715,10193,4740
26.576202,88.316139,3721,11913,5675
26.578264,88.313416,5086,10853,5072
26.577749,88.316574,4574,7915,3685
26.574949,88.313919,3915,9897,4765
26.578858,88.317059,9207,9539,5038
26.578506,88.315631,9887,10701,4768
26.574631,88.312691,6063,8359,3758
26.578244,88.314365,4952,11040,5375
26.575386,88.316253,10259,13783,7105
26.575572,88.312784,4939,11063,5370
26.575418,88.315629,4641,15022,7356
26.573598,88.314537,4603,10242,4510
26.573641,88.31329,6630,6175,2721
26.577141,88.314621,3817,13338,6481
26.572803,88.312571,5196,13074,6263
26.57721,88.313406,5145,11034,5442
