latitude,longitude,calcium,magnesium,titanium
26.585534,88.242612,3778,6348,2999
26.58786,88.244659,3065,7923,4036
26.58487,88.243816,2524,7509,3653
26.585632,88.244576,3283,9399,4532
26.584006,88.244628,4676,5745,2704
26.586082,88.245377,3963,6424,3053
26.58841,88.245463,3965,7818,3674
26.586788,88.244667,2955,7253,3776
26.585695,88.243713,3938,6746,3316
26.586361,88.24398,2780,6812,3523
26.582793,88.241433,3069,5431,2592
26.583973,88.243698,4458,4606,2618
26.588618,88.244485,2987,7738,3943
26.584736,88.242569,3820,8103,4149
26.589213,88.244435,3281,6594,3032
26.58505,88.245153,3000,6894,3632
26.58331,88.243021,2811,5990,2938
26.583994,88.242783,3168,6388,3139
26.584602,88.241527,3113,7302,3699
26.583971,88.241045,3694,6275,3113
26.583408,88.241966,2695,8816,4082
26.587671,88.243103,2479,6393,3959
26.587317,88.242348,3192,7463,3644
26.586908,88.24379,1486,4220,2096
26.587656,88.245445,3407,5828,2931
26.593747,88.243266,1220,12761,6684
26.594192,88.241738,1379,8814,4577
26.59416,88.240646,2263,7669,4256
26.59329,88.240738,2286,7838,4926
26.593587,88.24155,2293,8251,4591
26.59288,88.241417,1897,6924,4025
26.593645,88.244011,1578,11556,6337
26.591001,88.239531,1610,9704,5811
26.590601,88.240898,2113,9169,4932
26.590231,88.238463,2691,6944,3944
26.590662,88.240463,1656,10511,5193
26.590311,88.239868,1903,6885,3002
26.589663,88.239563,2149,8038,4089
26.589645,88.240082,1902,8850,5004
26.589198,88.238107,2165,7885,3861
26.591062,88.240791,1930,8508,4588
26.589846,88.240532,2517,11539,6197
26.588486,88.239294,2362,9178,5389
26.591156,88.241447,2355,8598,4625
26.589024,88.239487,1626,7439,4167
26.589272,88.238814,1901,8939,4588
26.590201,88.23928,2234,10008,4888
26.58526,88.238601,2101,8848,4666
26.584502,88.237905,1795,9055,5049
26.585232,88.23747,1544,9780,5912
