latitude,longitude,calcium,magnesium,titanium
26.577905,88.313455,4793,13725,6416
26.573956,88.314451,5726,10229,4874
26.575486,88.313939,4020,9841,4621
26.576322,88.316673,4506,14569,7030
26.578056,88.316061,4560,12130,5766
26.576474,88.315288,5441,12073,5692
26.574774,88.313161,4904,12340,5879
26.573467,88.313566,4590,10281,4826
26.574052,88.312275,7436,8955,4644
26.575631,88.315196,8708,10347,5070
26.577715,88.314506,9189,12552,6472
26.578708,88.315392,9109,12161,6302
26.57667,88.316157,5592,15602,7504
26.577288,88.313186,5556,13796,6751
26.573006,88.312898,5241,13927,7210
26.57701,88.314006,10541,8149,4021
26.577162,88.316487,5034,9199,4664
26.577167,88.315201,5715,12293,5934
26.576597,88.313197,5593,13156,6397
26.578656,88.314414,6080,14366,6843
26.578505,88.313887,5135,13227,6307
26.576305,88.314192,4679,12012,5714
26.574983,88.312577,3583,12354,6459
26.575843,88.3169,5291,12794,6346
26.578566,88.318125,3768,11604,6139
26.578554,88.317512,5193,13551,6449
26.578629,88.316734,5244,12067,5778
26.575713,88.315955,6441,15980,7497
