latitude,longitude,calcium,magnesium,titanium
26.589583,88.239653,2566,8214,4941
26.590848,88.240424,3042,11170,6113
26.589534,88.238985,2162,8922,4994
26.589477,88.24015,2110,8718,5086
26.58998,88.240003,2533,6313,3298
26.590477,88.240849,2121,9049,5362
26.589027,88.238327,3314,9007,4589
26.589064,88.239583,2151,8940,4845
26.58871,88.239125,2467,11175,6206
26.591025,88.241088,2260,8667,4873
26.590943,88.239874,5548,12431,6850
26.590411,88.238843,1998,7745,4170
26.589825,88.240542,2546,9938,5829
26.590048,88.239213,2450,9758,5522
26.593956,88.243459,2284,12619,6896
26.59387,88.240419,2554,9913,5611
26.593441,88.241417,3120,10063,5511
26.594074,88.244363,2712,11207,5969
26.592852,88.241764,3084,9506,5320
26.592982,88.240478,3244,7402,4109
26.594183,88.241521,2983,8814,4690
26.592865,88.241092,3026,11072,6074
26.593611,88.244039,2352,12172,7382
26.594319,88.243028,2609,8880,4911
26.594347,88.24078,3518,9085,5160
26.585564,88.236948,2180,9662,6171
26.586039,88.23762,2596,6995,3786
26.585048,88.23821,1718,9209,5157
26.584611,88.237892,2849,9955,5980
26.585565,88.237753,2411,12894,6968
26.58888,88.24509,5061,10015,4931
26.585737,88.24327,4794,10606,5344
26.587749,88.244814,4570,8471,4196
26.583768,88.243836,4646,6638,3339
26.588139,88.244286,7968,10082,4944
26.585534,88.242612,6270,5944,3197
26.584185,88.242382,4494,6527,3423
26.584617,88.244796,3728,6698,3614
26.589548,88.244662,5275,7947,4090
26.583046,88.241712,5467,5377,3102
26.589016,88.244438,5050,7756,3965
26.585416,88.243865,5131,8382,4499
26.586739,88.244825,5460,8488,4163
26.586627,88.243559,4959,5721,3311
26.587311,88.244573,5077,8335,4174
26.583602,88.243154,3512,6434,3510
26.583564,88.241685,3237,5649,2708
26.584812,88.242678,3656,5317,3076
26.584545,88.243524,3396,6625,3523
26.588795,88.24564,4619,8487,4426
26.585264,88.245033,3328,7340,3879
26.583676,88.244487,3248,6364,3311
26.584798,88.241654,4213,8712,4442
26.584842,88.244055,4185,7885,3815
26.587866,88.242896,3093,5939,3241
26.587026,88.242565,6114,7383,3890
26.58766,88.245434,5429,8713,4475
26.589336,88.245555,5873,8667,4494
26.585905,88.243948,4674,10294,5054
26.583208,88.242436,6383,6508,3363
26.585228,88.243315,5788,7915,3928
26.586345,88.244068,5101,8885,4493
26.587785,88.243879,4917,7025,3579
26.583907,88.241312,4559,8051,3791
26.585229,88.242161,4877,7365,3747
26.584178,88.243048,4215,7413,3795
